Energy_kcal,Protein_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
81.0,10.45,4.76,4.0,0.0,68.0,0.057,0.47,0.0,0.08,8.0,0.02,111.0,0.033,0.13,9.0,0.015,150.0,11.9,0.51
72.0,12.39,2.72,2.72,0.0,11.0,0.068,0.63,0.0,0.01,12.0,0.021,61.0,0.028,0.14,5.0,0.003,134.0,9.0,0.38
342.0,5.93,4.07,3.21,0.0,366.0,0.035,0.25,0.0,0.29,11.0,0.02,98.0,0.019,0.38,9.0,0.011,106.0,2.4,0.51
357.0,24.99,1.43,1.43,0.0,243.0,0.076,1.54,0.0,0.24,16.0,0.037,731.0,0.036,0.44,30.0,0.011,536.0,14.5,3.75
264.0,14.21,4.09,4.09,0.0,125.0,0.424,1.69,0.0,0.18,32.0,0.154,493.0,0.032,0.65,19.0,0.028,337.0,15.0,2.88
389.0,25.6,1.55,1.55,0.0,261.0,0.083,1.68,0.0,0.27,6.0,0.021,550.0,0.025,0.23,14.0,0.014,346.0,14.5,3.5
466.0,9.65,42.65,0.0,0.0,334.0,0.271,2.42,0.0,0.0,5.0,0.315,400.0,0.08,0.52,70.0,0.04,444.0,14.5,1.14
356.0,24.94,2.22,2.22,0.0,165.0,0.08,1.54,0.0,0.24,21.0,0.03,700.0,0.036,0.24,29.0,0.011,546.0,14.5,3.9
413.0,29.81,0.36,0.36,0.0,271.0,0.081,1.6,0.0,0.28,10.0,0.06,1011.0,0.032,0.17,36.0,0.017,605.0,14.5,3.9
327.0,20.05,0.49,0.49,0.0,340.0,0.086,1.04,0.0,0.23,58.0,0.08,497.0,0.021,0.13,21.0,0.038,393.0,14.5,2.1
373.0,24.48,0.68,0.5,0.0,198.0,0.079,0.83,0.0,0.26,18.0,0.015,746.0,0.032,0.72,27.0,0.011,444.0,14.5,3.0
300.0,22.17,2.19,1.03,0.0,179.0,0.037,2.28,0.0,0.19,7.0,0.03,505.0,0.011,0.44,20.0,0.03,354.0,17.0,2.92
318.0,21.6,2.47,1.01,0.0,197.0,0.062,0.73,0.0,0.21,8.0,0.016,575.0,0.022,0.2,21.0,0.009,412.0,16.1,2.46
254.0,24.26,2.77,1.13,0.0,127.0,0.07,0.82,0.0,0.14,9.0,0.018,782.0,0.025,0.22,23.0,0.01,463.0,14.4,2.76
301.0,24.58,6.36,2.24,0.0,254.0,0.111,1.82,0.0,0.43,27.0,0.059,716.0,0.034,0.23,29.0,0.041,537.0,26.8,3.61
368.0,23.41,1.12,1.12,0.0,298.0,0.056,1.47,0.0,0.26,12.0,0.013,717.0,0.031,0.41,27.0,0.008,468.0,14.5,2.81
253.0,9.15,3.59,3.19,0.0,241.0,0.041,0.3,0.0,0.4,14.0,0.022,117.0,0.027,0.13,10.0,0.011,138.0,3.0,0.82
420.0,28.42,13.91,0.07,0.0,262.0,0.081,1.4,0.0,0.53,6.0,0.026,853.0,0.04,0.49,34.0,0.071,627.0,34.4,4.2
392.0,35.75,3.22,0.8,0.0,207.0,0.091,1.2,0.0,0.22,7.0,0.039,1184.0,0.032,0.82,44.0,0.02,694.0,22.5,2.75
352.0,23.78,0.57,0.57,0.0,315.0,0.053,1.5,0.0,0.24,18.0,0.014,650.0,0.022,0.43,24.0,0.011,360.0,14.5,2.6
351.0,25.58,2.14,0.56,0.0,236.0,0.073,1.46,0.0,0.23,10.0,0.019,756.0,0.026,0.52,28.0,0.01,496.0,14.5,3.23
174.0,11.26,3.04,0.27,0.0,120.0,0.043,0.34,0.0,0.11,12.0,0.013,207.0,0.021,0.38,11.0,0.006,158.0,14.5,1.16
138.0,11.39,5.14,0.31,0.0,107.0,0.02,0.29,0.0,0.07,13.0,0.021,272.0,0.034,0.44,15.0,0.01,183.0,16.7,1.34
387.0,31.8,3.63,0.73,0.0,96.0,0.085,1.12,0.0,0.23,7.0,0.037,1064.0,0.03,0.77,41.0,0.02,760.0,14.5,2.58
369.0,21.54,2.0,0.0,0.0,294.0,0.124,0.64,0.0,0.0,49.0,0.04,662.0,0.034,0.56,30.0,0.03,392.0,14.5,2.08
380.0,26.93,5.38,1.32,0.0,220.0,0.083,3.34,0.0,0.38,6.0,0.063,791.0,0.043,0.2,38.0,0.005,567.0,18.2,4.36
340.0,24.41,1.88,0.0,0.0,249.0,0.065,2.1,0.0,0.0,20.0,0.061,700.0,0.026,0.23,13.0,0.013,500.0,14.5,3.5
366.0,18.13,4.78,2.26,0.0,317.0,0.054,1.5,0.0,0.8,8.0,0.015,1045.0,0.046,0.63,26.0,0.041,641.0,20.2,2.49
375.0,22.13,1.73,0.62,0.1,244.0,0.071,0.7,2.3,0.29,8.0,0.027,614.0,0.033,0.42,22.0,0.016,744.0,14.5,2.98
334.0,24.73,2.1,1.23,0.0,198.0,0.036,1.23,0.0,0.34,6.0,0.014,772.0,0.027,0.61,29.0,0.014,762.0,15.9,3.61
331.0,19.66,8.32,0.0,0.0,0.0,0.141,1.28,0.0,0.0,5.0,0.03,497.0,0.03,0.84,30.0,0.01,400.0,16.2,3.01
330.0,16.86,8.56,5.59,0.0,201.0,0.102,1.33,0.0,0.63,7.0,0.035,682.0,0.034,0.26,27.0,0.025,438.0,19.6,2.31
323.0,21.92,4.5,0.0,0.0,237.0,0.035,2.3,0.0,0.0,6.0,0.014,723.0,0.03,0.6,28.0,0.01,526.0,16.1,3.55
290.0,16.41,8.73,7.32,0.0,173.0,0.117,0.4,0.0,0.19,7.0,0.048,562.0,0.033,0.33,29.0,0.02,875.0,11.3,2.59
130.0,2.96,4.3,4.3,0.0,97.0,0.039,0.33,0.9,0.33,3.0,0.035,105.0,0.01,0.07,10.0,0.001,95.0,1.8,0.51
195.0,2.7,3.66,3.66,0.0,181.0,0.032,0.22,0.8,0.55,2.0,0.032,96.0,0.008,0.04,9.0,0.001,80.0,0.6,0.27
292.0,2.17,2.96,2.96,0.0,279.0,0.028,0.2,0.6,0.88,4.0,0.024,69.0,0.007,0.03,7.0,0.001,61.0,0.5,0.25
345.0,2.05,2.79,2.79,0.0,411.0,0.026,0.18,0.6,1.06,4.0,0.022,65.0,0.006,0.03,7.0,0.001,62.0,0.5,0.23
257.0,3.2,12.49,8.0,0.0,188.0,0.041,0.29,0.0,0.64,3.0,0.037,101.0,0.01,0.05,11.0,0.001,89.0,1.4,0.37
135.0,2.94,4.26,0.16,0.0,102.0,0.016,0.3,0.9,0.34,11.0,0.035,104.0,0.016,0.07,10.0,0.003,95.0,2.1,0.5
193.0,2.07,2.88,2.88,0.0,176.0,0.057,0.28,0.9,0.44,7.0,0.036,110.0,0.019,0.17,10.0,0.011,115.0,2.6,0.38
88.0,4.55,8.05,8.05,0.0,59.0,0.05,0.45,1.5,0.21,1.0,0.034,130.0,0.013,0.2,19.0,0.005,109.0,4.2,0.46
178.0,3.25,4.68,4.68,0.0,3.0,0.017,0.33,0.9,1.34,12.0,0.038,113.0,0.01,0.03,10.0,0.002,87.0,2.3,0.37
63.0,3.33,4.74,0.0,0.0,2.0,0.04,0.34,0.9,0.0,5.0,0.03,128.0,0.01,0.05,13.0,0.002,97.0,2.0,0.36
63.0,3.33,4.74,4.74,0.0,2.0,0.04,0.34,0.9,0.13,5.0,0.03,128.0,0.01,0.05,13.0,0.002,97.0,2.0,0.36
126.0,21.05,10.53,5.26,0.0,56.0,0.567,1.85,0.0,0.27,9.0,0.412,789.0,0.559,0.0,115.0,0.0,316.0,14.6,4.11
136.0,1.0,11.38,11.38,0.0,1.0,0.0,0.0,0.0,0.81,0.0,0.0,9.0,0.0,0.03,0.0,0.0,64.0,1.1,0.02
136.0,1.0,11.38,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.025,0.03,0.0,0.04,64.0,1.1,0.02
545.0,4.79,54.88,54.88,0.0,2.0,0.0,0.0,0.0,0.59,0.0,0.0,22.0,0.115,1.15,4.0,0.22,422.0,0.6,0.51
577.0,4.9,52.54,52.54,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,17.0,0.118,0.03,7.0,0.225,74.0,0.6,0.08
194.0,3.61,17.13,17.13,0.0,34.0,0.03,0.26,0.7,0.45,4.0,0.027,90.0,0.012,0.04,10.0,0.005,86.0,4.8,0.27
264.0,0.98,16.07,16.07,0.0,4.0,0.0,0.0,0.0,0.85,0.0,0.0,5.0,0.024,0.02,1.0,0.045,18.0,1.5,0.01
318.0,1.25,23.05,23.05,0.0,7.0,0.0,0.0,0.0,0.96,0.0,0.0,6.0,0.03,0.12,2.0,0.058,8.0,2.1,0.03
208.0,2.4,6.63,6.63,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,3.0,0.058,0.39,6.0,0.11,45.0,2.5,1.18
61.0,1.75,6.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,33.0,0.051,0.39,6.0,0.097,74.0,1.9,1.18
61.0,3.15,4.8,5.05,0.0,46.0,0.036,0.45,0.0,0.07,5.0,0.046,113.0,0.025,0.03,10.0,0.004,84.0,3.7,0.37
64.0,3.28,4.65,0.0,0.0,33.0,0.042,0.36,1.5,0.0,5.0,0.038,119.0,0.01,0.05,13.0,0.004,93.0,2.0,0.38
50.0,3.3,4.8,5.06,0.0,55.0,0.038,0.53,0.2,0.03,5.0,0.039,120.0,0.006,0.02,11.0,0.014,92.0,2.5,0.48
51.0,3.48,4.97,0.0,0.0,56.0,0.045,0.38,1.0,0.0,5.0,0.04,128.0,0.008,0.05,14.0,0.002,100.0,2.3,0.4
56.0,3.95,5.49,5.26,0.0,0.0,0.051,0.43,1.1,0.04,6.0,0.045,143.0,0.008,0.06,16.0,0.002,112.0,2.6,0.45
42.0,3.37,4.99,5.2,0.0,58.0,0.037,0.47,0.0,0.01,5.0,0.02,125.0,0.01,0.03,11.0,0.003,95.0,3.3,0.42
43.0,3.48,4.97,0.0,0.0,59.0,0.045,0.38,1.0,0.0,5.0,0.04,128.0,0.01,0.05,14.0,0.002,100.0,2.3,0.4
48.0,3.93,5.52,0.0,0.0,61.0,0.05,0.43,1.2,0.0,6.0,0.045,142.0,0.01,0.06,16.0,0.002,111.0,2.5,0.45
34.0,3.37,4.96,5.09,0.0,61.0,0.037,0.5,0.0,0.01,5.0,0.045,122.0,0.013,0.03,11.0,0.003,101.0,3.1,0.42
37.0,3.57,5.02,5.02,0.0,64.0,0.046,0.39,1.0,0.01,5.0,0.041,129.0,0.011,0.05,15.0,0.002,104.0,2.2,0.41
41.0,3.96,5.56,0.0,0.0,61.0,0.05,0.43,1.1,0.0,6.0,0.045,143.0,0.011,0.06,16.0,0.002,112.0,2.4,0.45
40.0,3.31,4.79,4.79,0.0,14.0,0.034,0.22,1.0,0.05,5.0,0.034,116.0,0.011,0.05,11.0,0.002,89.0,2.0,0.42
61.0,3.1,4.46,4.46,0.0,29.0,0.034,0.36,0.9,0.08,5.0,0.02,101.0,0.01,0.05,5.0,0.004,86.0,2.0,0.38
496.0,26.32,38.42,38.42,0.0,258.0,0.302,3.25,8.6,0.58,37.0,0.283,912.0,0.08,0.47,85.0,0.04,776.0,16.3,3.34
362.0,36.16,51.98,51.98,0.0,6.0,0.361,4.03,6.8,0.0,50.0,0.415,1257.0,0.041,0.32,110.0,0.02,968.0,27.3,4.08
358.0,35.1,52.19,52.19,0.0,709.0,0.345,3.99,5.6,0.01,50.0,0.413,1231.0,0.041,0.31,117.0,0.02,985.0,27.3,4.41
354.0,35.5,51.8,0.0,0.0,2.0,0.298,3.98,6.7,0.0,50.0,0.163,280.0,0.016,0.32,60.0,0.008,1011.0,27.3,4.03
387.0,34.3,49.0,49.0,0.0,49.0,0.338,3.82,5.7,0.1,47.0,0.392,1184.0,0.111,0.3,110.0,0.023,933.0,20.3,4.02
321.0,7.91,54.4,54.4,0.0,74.0,0.051,0.44,2.6,0.16,11.0,0.09,284.0,0.015,0.19,26.0,0.006,253.0,14.8,0.94
134.0,6.81,10.04,10.04,0.0,65.0,0.05,0.16,1.9,0.14,8.0,0.047,261.0,0.016,0.19,24.0,0.006,203.0,2.3,0.77
78.0,7.55,11.35,11.35,0.0,118.0,0.055,0.24,1.2,0.0,9.0,0.045,290.0,0.016,0.29,27.0,0.006,195.0,2.5,0.9
83.0,3.17,10.34,9.54,0.8,27.0,0.04,0.33,0.9,0.07,5.0,0.037,112.0,0.065,0.24,13.0,0.077,101.0,1.9,0.41
76.0,2.99,12.13,9.55,0.7,64.0,0.024,0.33,0.0,0.04,2.0,0.045,109.0,0.075,0.24,14.0,0.062,102.0,3.4,0.39
71.0,3.24,12.6,9.94,0.5,58.0,0.041,0.32,0.9,0.02,5.0,0.038,116.0,0.065,0.27,13.0,0.077,103.0,1.9,0.41
77.0,3.52,10.74,9.66,1.0,51.0,0.04,0.49,0.2,0.03,5.0,0.039,114.0,0.103,0.42,23.0,0.013,105.0,2.7,0.63
69.0,3.56,4.45,4.45,0.0,57.0,0.046,0.07,1.3,0.07,1.0,0.048,134.0,0.046,0.05,14.0,0.018,111.0,1.4,0.3
70.0,1.03,6.89,6.89,0.0,61.0,0.011,0.05,5.0,0.08,5.0,0.014,32.0,0.052,0.03,3.0,0.026,14.0,1.8,0.17
97.0,3.75,5.18,0.0,0.0,53.0,0.023,0.36,2.3,0.0,6.0,0.052,169.0,0.046,0.12,31.0,0.018,117.0,0.0,0.22
108.0,5.98,5.36,0.0,0.0,44.0,0.06,0.71,4.2,0.0,7.0,0.065,193.0,0.046,0.1,18.0,0.018,158.0,1.7,0.54
119.0,3.05,21.15,20.85,0.3,18.0,0.025,0.32,0.0,0.05,5.0,0.047,132.0,0.065,0.31,16.0,0.039,126.0,1.9,0.48
112.0,3.86,17.75,17.75,0.0,25.0,0.042,0.52,0.0,0.05,7.0,0.03,146.0,0.051,0.1,12.0,0.014,115.0,2.3,0.39
24.0,0.76,5.12,5.12,0.0,2.0,0.042,0.18,0.1,0.0,2.0,0.042,103.0,0.003,0.08,10.0,0.002,78.0,1.8,0.43
339.0,11.73,73.45,73.45,0.0,17.0,0.62,2.5,0.9,0.0,33.0,0.622,2054.0,0.05,1.24,199.0,0.015,1349.0,27.3,6.31
27.0,0.85,5.14,5.14,0.0,3.0,0.031,0.28,0.1,0.0,1.0,0.036,47.0,0.004,0.06,8.0,0.001,46.0,1.9,0.13
353.0,12.93,74.46,74.46,0.0,8.0,0.584,2.37,1.5,0.02,12.0,0.519,796.0,0.07,0.88,176.0,0.009,932.0,27.2,1.97
61.0,3.47,4.66,4.66,0.0,27.0,0.032,0.37,0.5,0.06,7.0,0.029,121.0,0.009,0.05,12.0,0.004,95.0,2.2,0.59
63.0,5.25,7.04,7.04,0.0,14.0,0.049,0.56,0.8,0.03,11.0,0.044,183.0,0.013,0.08,17.0,0.004,144.0,3.3,0.89
56.0,5.73,7.68,7.68,0.0,2.0,0.053,0.61,0.9,0.0,12.0,0.048,199.0,0.015,0.09,19.0,0.005,157.0,3.6,0.97
85.0,4.93,13.8,13.8,0.0,12.0,0.045,0.53,0.8,0.02,11.0,0.042,171.0,0.013,0.07,16.0,0.004,135.0,4.9,0.83
99.0,3.98,18.64,18.64,0.0,11.0,0.037,0.43,0.6,0.02,9.0,0.034,138.0,0.079,0.06,13.0,0.064,109.0,2.8,0.67
102.0,4.37,19.05,19.05,0.0,10.0,0.04,0.47,0.7,0.02,9.0,0.037,152.0,0.08,0.07,15.0,0.065,119.0,3.1,0.74
105.0,4.86,18.6,0.0,0.0,0.0,0.045,0.52,0.7,0.0,10.0,0.041,169.0,0.08,0.07,16.0,0.065,133.0,3.1,0.82
143.0,12.56,0.72,0.37,0.0,160.0,0.17,0.89,0.0,1.05,47.0,0.04,56.0,0.072,1.75,12.0,0.028,198.0,30.7,1.29
52.0,10.9,0.73,0.71,0.0,0.0,0.005,0.09,0.0,0.0,4.0,0.004,7.0,0.023,0.08,11.0,0.011,15.0,20.0,0.03
322.0,15.86,3.59,0.56,0.0,381.0,0.35,1.95,0.0,2.58,146.0,0.176,129.0,0.077,2.73,5.0,0.055,390.0,56.0,2.3
299.0,15.33,1.3,0.17,0.0,395.0,0.442,1.64,0.0,2.24,151.0,0.223,133.0,0.024,3.67,11.0,0.078,420.0,56.4,3.17
307.0,13.87,10.95,10.3,0.0,316.0,0.398,1.64,0.0,2.25,174.0,0.14,124.0,0.012,3.7,10.0,0.08,404.0,53.5,3.06
196.0,13.61,0.83,0.4,0.0,219.0,0.184,0.97,0.0,1.31,51.0,0.044,62.0,0.078,1.89,13.0,0.03,215.0,33.1,1.39
155.0,12.58,1.12,1.12,0.0,149.0,0.121,1.11,0.0,1.03,44.0,0.066,50.0,0.013,1.19,10.0,0.026,172.0,30.8,1.05
154.0,10.57,0.64,0.31,0.0,172.0,0.143,0.76,0.0,1.29,39.0,0.034,48.0,0.063,1.48,11.0,0.024,167.0,25.8,1.09
143.0,12.51,0.71,0.37,0.0,160.0,0.144,0.71,0.0,1.04,35.0,0.032,56.0,0.072,1.75,12.0,0.028,197.0,30.6,1.29
149.0,9.99,1.61,1.39,0.0,161.0,0.134,0.76,0.0,1.15,36.0,0.04,66.0,0.059,1.31,11.0,0.022,165.0,23.5,1.04
605.0,48.37,1.53,0.3,0.0,150.0,0.494,3.39,0.0,2.17,119.0,0.183,236.0,0.203,4.33,34.0,0.058,629.0,164.7,3.15
615.0,48.17,2.38,0.0,0.0,616.0,0.42,10.51,0.0,0.0,193.0,0.325,222.0,0.27,8.28,49.0,0.15,715.0,121.1,5.71
351.0,76.92,4.17,0.0,0.0,0.0,0.023,0.49,0.0,0.0,89.0,0.035,83.0,0.23,0.23,67.0,0.07,83.0,116.8,0.15
376.0,82.4,4.47,0.0,0.0,0.0,0.024,0.53,0.0,0.0,96.0,0.037,89.0,0.17,0.24,72.0,0.05,89.0,125.1,0.16
679.0,33.73,2.1,0.07,0.0,785.0,0.842,6.02,0.0,4.81,209.0,0.387,307.0,0.012,9.5,26.0,0.185,1040.0,139.3,7.73
185.0,12.81,1.45,0.93,0.0,194.0,0.25,5.4,0.0,1.34,80.0,0.156,64.0,0.062,3.85,17.0,0.038,220.0,36.4,1.41
185.0,13.87,1.35,0.94,0.0,187.0,0.236,5.1,0.0,1.29,76.0,0.147,60.0,0.062,3.64,16.0,0.038,208.0,36.9,1.33
158.0,13.05,0.41,0.4,0.0,156.0,0.15,1.58,0.0,1.08,66.0,0.13,64.0,0.062,3.65,13.0,0.038,226.0,32.0,1.47
171.0,13.68,1.15,0.0,0.0,166.0,0.131,1.69,0.0,0.0,71.0,0.11,99.0,0.062,4.1,13.0,0.038,170.0,34.3,1.58
444.0,55.5,21.8,21.8,0.0,369.0,0.143,3.52,0.8,1.26,125.0,0.226,326.0,0.207,3.16,65.0,0.08,478.0,127.7,1.82
717.0,0.85,0.06,0.06,0.0,684.0,0.003,0.17,0.0,2.32,3.0,0.005,24.0,0.016,0.02,2.0,0.004,24.0,1.0,0.09
415.0,37.86,3.41,0.9,0.0,229.0,0.105,1.4,0.0,0.25,8.0,0.041,1253.0,0.037,0.87,51.0,0.023,735.0,23.9,3.19
34.0,3.37,4.96,5.09,0.0,2.0,0.037,0.5,0.0,0.01,5.0,0.045,122.0,0.013,0.03,11.0,0.003,101.0,3.1,0.42
56.0,3.95,5.49,0.0,0.0,17.0,0.046,0.39,1.1,0.0,5.0,0.045,143.0,0.011,0.06,15.0,0.002,112.0,2.6,0.41
134.0,6.81,10.04,0.0,0.0,0.0,0.05,0.16,1.9,0.0,8.0,0.047,261.0,0.016,0.19,24.0,0.006,203.0,2.3,0.77
362.0,36.16,51.98,51.98,0.0,653.0,0.361,4.03,6.8,0.0,50.0,0.415,1257.0,0.041,0.32,110.0,0.02,968.0,27.3,4.08
358.0,35.1,52.19,52.19,0.0,4.0,0.345,3.99,5.6,0.01,50.0,0.413,1231.0,0.041,0.31,117.0,0.02,985.0,27.3,4.41
452.0,30.52,2.17,2.17,0.0,486.0,0.08,0.12,0.0,0.31,4.0,0.14,895.0,0.627,1.88,54.0,0.252,729.0,5.5,1.59
364.0,21.58,0.12,0.12,0.0,407.0,0.06,0.22,0.0,0.26,2.0,0.072,298.0,0.564,1.62,29.0,0.093,375.0,3.8,0.66
264.0,18.52,0.0,0.0,0.0,288.0,0.25,0.19,0.0,0.18,12.0,0.07,140.0,0.732,1.9,16.0,0.1,256.0,2.8,0.92
275.0,14.07,1.77,0.07,0.0,313.0,0.402,1.61,0.0,2.28,112.0,0.14,113.0,0.121,3.4,7.0,0.065,414.0,56.9,2.87
248.0,11.47,23.67,23.67,0.0,437.0,0.051,0.81,0.1,0.11,11.0,0.026,610.0,0.11,0.4,41.0,0.028,583.0,19.2,1.92
197.0,10.33,5.48,0.19,0.1,82.0,0.045,0.35,0.6,0.09,11.0,0.044,311.0,0.019,0.35,19.0,0.04,229.0,6.6,1.26
373.0,21.44,4.63,4.63,0.0,64.0,0.047,1.38,0.0,0.26,1.0,0.02,680.0,0.008,0.47,28.0,0.037,444.0,14.5,2.94
356.0,22.6,2.87,2.87,0.0,55.0,0.053,1.0,0.0,0.24,8.0,0.021,661.0,0.026,0.51,26.0,0.036,443.0,14.5,3.02
374.0,21.56,5.56,5.56,0.0,56.0,0.055,1.03,0.0,0.26,2.0,0.018,651.0,0.024,0.47,23.0,0.071,442.0,14.5,3.5
173.0,24.35,1.91,0.52,0.0,60.0,0.045,0.49,0.0,0.06,11.0,0.012,415.0,0.021,0.42,16.0,0.006,484.0,14.5,1.82
398.0,24.35,1.91,0.49,0.0,264.0,0.076,0.83,0.0,0.28,18.0,0.021,703.0,0.036,0.72,27.0,0.011,484.0,14.5,3.09
154.0,12.03,1.27,0.1,0.0,146.0,0.197,1.16,0.0,0.72,87.0,0.067,63.0,0.025,1.69,9.0,0.032,193.0,37.2,1.32
46.0,9.3,1.26,0.2,0.0,0.0,0.004,0.9,0.0,0.0,10.0,0.023,10.0,0.032,0.17,11.0,0.007,13.0,9.2,0.07
382.0,81.1,7.8,5.4,0.0,0.0,0.036,0.18,0.0,0.0,18.0,0.005,62.0,0.114,0.15,88.0,0.007,111.0,125.1,0.1
50.0,3.3,4.8,5.06,0.0,28.0,0.038,0.53,0.2,0.03,5.0,0.039,120.0,0.006,0.02,11.0,0.014,92.0,2.5,0.48
42.0,3.37,4.99,5.2,0.0,14.0,0.037,0.47,0.0,0.01,5.0,0.02,125.0,0.01,0.03,11.0,0.003,95.0,3.3,0.42
181.0,7.0,7.0,0.3,0.0,119.0,0.02,0.3,0.9,0.4,11.0,0.04,141.0,0.01,0.06,11.0,0.0,85.0,4.1,0.27
136.0,3.5,7.1,0.22,0.0,90.0,0.02,0.42,0.9,0.3,11.0,0.04,141.0,0.016,0.07,10.0,0.0,71.0,3.1,0.5
74.0,3.1,15.6,0.39,0.0,73.0,0.02,0.3,0.0,0.0,11.0,0.04,125.0,0.016,0.0,10.0,0.0,95.0,5.3,0.5
282.0,27.2,2.0,0.58,0.0,150.0,0.084,1.66,0.0,0.16,20.0,0.03,905.0,0.021,0.13,35.0,0.0,583.0,15.5,4.3
43.0,3.86,7.5,7.5,0.0,2.0,0.037,0.43,1.1,0.0,8.0,0.034,143.0,0.079,0.12,13.0,0.0,109.0,3.1,0.67
370.0,40.0,40.0,1.5,0.0,40.0,0.1,1.1,0.0,0.04,25.0,0.05,800.0,0.02,5.0,40.0,0.0,700.0,43.3,3.0
105.0,15.69,7.66,5.48,0.0,11.0,0.05,0.95,0.0,0.02,35.0,0.04,351.0,0.036,0.19,22.0,0.017,523.0,4.9,1.5
112.0,3.53,23.53,14.97,1.2,0.0,0.047,0.5,0.0,0.0,12.0,0.047,88.0,0.209,0.42,40.0,0.0,166.0,7.0,1.13
276.0,12.0,9.2,6.7,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,359.0,0.0,0.19,0.0,0.0,806.0,0.0,1.64
215.0,16.3,16.2,8.2,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,418.0,0.0,0.16,0.0,0.0,943.0,0.0,2.36
148.0,22.7,11.7,6.7,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,712.0,0.0,0.05,0.0,0.0,923.0,0.0,2.5
303.0,16.3,9.8,8.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,466.0,0.0,0.18,0.0,0.0,863.0,0.0,1.84
222.0,19.6,11.8,8.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,574.0,0.0,0.14,0.0,0.0,1024.0,0.0,2.49
152.0,4.5,6.5,6.4,0.1,0.0,0.0,0.0,1.1,0.0,0.0,0.0,161.0,0.0,0.06,0.0,0.0,110.0,0.0,0.0
91.0,4.7,15.1,7.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,141.0,0.0,0.05,0.0,0.0,116.0,0.0,0.0
59.0,2.6,9.0,5.0,0.0,12.0,0.062,0.52,0.7,0.04,4.0,0.056,96.0,0.016,0.0,16.0,0.002,151.0,2.9,0.81
